,symboling,name,fueltypes,aspiration,doornumbers,carbody,drivewheels,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,-1.5,90.0,1.0,0.0,0.0,2.0,1.0,0.0,0.5733087290655531,0.07641283078808743,0.23510533695010027,0.04385858508052199,-0.2213817641028558,3.0,2.0,-0.12142933687314662,4.0,-0.03890939034720854,0.9219561545985796,-0.3440561125723099,-0.34075624904736457,-1.9661669670056778,0.37011795929706864,0.2702479945371296,-0.2767384361691552
1,0.125,45.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6228753241419578,0.3028798733310148,0.9249835144575503,0.4080263205555714,0.6469495487530336,3.0,2.0,0.3144969017760576,4.0,1.6929449972262034,-0.44899424513379654,-0.5316276874782966,1.7237848024805436,-0.3183317946580628,-0.986981224792182,-1.017934112756523,0.3963734030028013
2,-1.5,81.0,0.0,1.0,0.0,3.0,1.0,0.0,0.5733087290655531,0.07641283078808743,0.23510533695010027,0.44848940227502204,-0.17911785064526825,3.0,2.0,-0.41204682930594944,3.0,-0.186301253119414,0.3017643071005999,3.35378350700286,-0.8133620319272472,-1.348228777375322,0.8790301533305376,0.4312707579488362,-0.347187819907419
3,0.9374999999999999,29.0,1.0,0.0,1.0,2.0,1.0,0.0,-2.0371986116251177,-2.430900854508598,-0.9606835040628139,-1.2104969482224286,-1.4489563413482391,3.0,2.0,-0.8479730679551537,0.0,-1.5128280180692617,0.4976143642052253,-0.2100764162108907,-0.7387400662093709,1.741462170776456,1.0486675513416939,1.236384575007369,-0.8394368775549601
4,-0.6875,9.0,1.0,0.0,1.0,3.0,2.0,0.0,0.37504234875993225,0.1734701347350573,-0.5467565975583445,0.20571091195832142,0.26273215368405595,3.0,3.0,0.8957318866416633,4.0,-0.03890939034720854,-0.2205025118450677,-0.26366829475545817,0.380589419558772,-1.8631772687339518,-0.6477064287698693,-0.3738430591096967,0.968550488746118
5,-0.6875,25.0,1.0,0.0,0.0,3.0,1.0,0.0,-0.40150097410374824,-0.9103364260060911,-0.9146916255623165,0.2866370753972226,-1.0820287290573656,3.0,2.0,-0.8479730679551537,0.0,-1.5128280180692617,0.4976143642052253,-0.2100764162108907,-0.7387400662093709,1.741462170776456,0.8790301533305376,0.5922935213605428,-0.7830773705643491
6,1.7499999999999998,71.0,1.0,0.0,1.0,2.0,2.0,0.0,-0.7319449412797823,-0.4654904495824856,1.0629591499590392,-1.4532754385391264,0.39336606800750834,3.0,2.0,0.5808962698394602,4.0,2.282512448315025,-0.4816359213179015,-0.12968859839403898,0.9278171681565308,0.7115651880591966,-0.986981224792182,-0.5348658225214032,1.1027885872146643
7,0.125,27.0,1.0,0.0,1.0,3.0,1.0,0.0,-0.40150097410374824,-0.4493142322579918,0.0051459444476169135,-1.1295707847835275,-0.5383611150347622,3.0,2.0,-0.41204682930594944,1.0,-0.6284768414360304,1.0525228593349965,-0.23687235548317445,-0.14176434046636138,0.7115651880591966,0.030843163274755968,0.10922523112542305,-0.3924035152885228
8,-0.6875,90.0,1.0,0.0,0.0,3.0,1.0,0.0,-0.5336785609741613,-0.6757812748009169,-0.7307241115603272,-0.32030915039452745,-0.9456315538078786,3.0,2.0,-0.7026643217387523,1.0,-0.481084978663825,-0.7427693307907354,-0.26366829475545817,-0.8879839976451234,-0.7302905877449666,0.8790301533305376,1.0753618115956625,-0.8288054250999131
9,1.7499999999999998,75.0,1.0,1.0,1.0,2.0,1.0,0.0,0.028076183225095086,0.9661047836352984,0.23510533695010027,0.9340463829084232,0.450998677267855,0.0,2.0,-0.14564746124254685,4.0,0.8085938205929721,-0.6122026260543184,-0.26366829475545817,1.3506749738911625,0.7115651880591966,-0.986981224792182,-0.6958885859331098,0.6073372848517475
